0	0
1	0
2	1
3	0
4	1
5	0
6	0
7	1
8	0
9	0
10	0
11	1
12	1
13	0
14	0
15	0
16	1
17	1
18	1
19	0
20	1
21	1
22	0
23	1
24	1
25	1
26	1
27	0
28	0
29	1
30	0
31	1
32	0
33	0
34	1
35	0
36	1
37	1
38	0
39	0
40	0
41	1
42	1
43	1
44	1
45	1
46	0
47	0
48	1
49	0
50	0
51	1
52	0
53	1
54	1
55	0
56	0
57	0
58	0
59	0
60	1
61	0
62	1
63	0
64	1
65	1
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	1
74	1
75	0
76	0
77	1
78	1
79	1
80	1
81	1
82	0
83	1
84	1
85	1
86	0
87	0
88	1
89	0
90	0
91	0
92	0
93	0
94	0
95	1
96	0
97	1
98	1
99	1
100	1
101	0
102	0
103	0
104	0
105	0
106	1
107	0
108	0
109	1
110	0
111	1
112	0
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	0
122	0
123	1
124	0
125	0
126	1
127	1
128	1
129	1
130	1
131	1
132	1
